velocity_X,Y,agent_skin,velocity_Z,X,pitch,yaw,Z,velocity_Y,tick,steamid,name
30.203125,2337.1355,customplayer_ct_map_based,0.0,357.12897,-0.1387024,-154.91272,-119.96875,-62.921875,7,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.789154,145.95886,9.03125,0.0,7,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,7,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,8,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,8,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,8,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,8,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,8,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,8,76561199557907229,shawty#)$@
-0.015625,1948.0223,customplayer_t_map_based,-69.0,489.9363,79.59836,55.548584,147.0625,171.10938,8,76561198049602148,Moon
27.390625,2336.3357,customplayer_ct_map_based,0.0,357.513,-0.1387024,-154.91272,-119.96875,-57.046875,8,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.667969,144.6254,9.03125,0.0,8,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,8,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,9,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,9,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,9,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,9,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,9,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,9,76561199557907229,shawty#)$@
-0.015625,1950.6959,customplayer_t_map_based,-81.0,489.93607,79.59836,55.548584,145.60938,171.10938,9,76561198049602148,Moon
24.578125,2335.6277,customplayer_ct_map_based,0.0,357.85306,-0.1387024,-154.91272,-119.96875,-51.1875,9,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,9,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,9,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,10,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,10,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,10,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,10,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,10,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,10,76561199557907229,shawty#)$@
-0.015625,1953.3695,customplayer_t_map_based,-93.0,489.93582,79.59836,55.548584,143.95312,171.10938,10,76561198049602148,Moon
21.763672,2335.0115,customplayer_ct_map_based,0.0,358.14917,-0.1387024,-154.91272,-119.96875,-45.3125,10,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,10,76561198171814417,Faat
0.0,1917.5593,customplayer_t_map_based,0.0,-529.78925,1.5487366,24.457977,-119.98871,0.0,10,76561199052717313,Worfy
0.0,2439.0117,customplayer_ct_map_based,0.0,182.24991,-4.4731445,-9.340088,-120.96875,0.0,11,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,2010.0741,customplayer_ctm_st6_variantg,0.0,-57.90918,-0.48098755,172.78506,-121.4375,0.0,11,76561199826895670,RME | Пацан
0.0,-808.0,customplayer_t_map_based,0.0,-1015.0,0.0,-177.00005,116.08262,0.0,11,76561198002613044,frees.tyler
0.0,309.48615,customplayer_t_map_based,0.0,-320.05115,4.7279053,96.050385,1.7562447,0.0,11,76561198274174345,zig
0.0,2433.7336,customplayer_ct_map_based,0.0,334.36874,0.0,-129.99985,-120.36255,0.0,11,76561199433997570,Simple Dimple skins.army
0.0,2191.7769,customplayer_ct_map_based,0.0,83.624,1.4309692,-156.7526,-124.53638,0.0,11,76561199557907229,shawty#)$@
-0.015625,1956.0431,customplayer_t_map_based,-106.0,489.93558,79.59836,55.548584,142.09375,171.10938,11,76561198049602148,Moon
18.951172,2334.4866,customplayer_ct_map_based,0.0,358.40134,-0.1387024,-154.91272,-119.95349,-39.4375,11,76561199068251294,prosto bo$$
0.0,-470.3335,customplayer_t_map_based,0.0,-250.9367,9.627457,144.14029,9.03125,0.0,11,76561198171814417,Faat
