buttons,is_walking,is_scoped,is_defusing,is_grabbing_hostage,tick,steamid,name
0.0,False,False,False,False,144803,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144803,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144803,76561198002613044,frees.tyler
0.0,False,False,False,False,144803,76561198274174345,zig
0.0,False,False,False,False,144803,76561199433997570,Simple Dimple skins.army
,,,,,144803,76561199557907229,shawty#)$@
0.0,False,False,False,False,144803,76561198049602148,Moon
0.0,False,True,False,False,144803,76561199068251294,prosto bo$$
0.0,False,False,False,False,144803,76561198171814417,Faat
0.0,False,False,False,False,144803,76561199052717313,Worfy
0.0,False,False,False,False,144804,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144804,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144804,76561198002613044,frees.tyler
0.0,False,False,False,False,144804,76561198274174345,zig
0.0,False,False,False,False,144804,76561199433997570,Simple Dimple skins.army
,,,,,144804,76561199557907229,shawty#)$@
0.0,False,False,False,False,144804,76561198049602148,Moon
0.0,False,True,False,False,144804,76561199068251294,prosto bo$$
0.0,False,False,False,False,144804,76561198171814417,Faat
0.0,False,False,False,False,144804,76561199052717313,Worfy
0.0,False,False,False,False,144805,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144805,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144805,76561198002613044,frees.tyler
0.0,False,False,False,False,144805,76561198274174345,zig
0.0,False,False,False,False,144805,76561199433997570,Simple Dimple skins.army
,,,,,144805,76561199557907229,shawty#)$@
0.0,False,False,False,False,144805,76561198049602148,Moon
0.0,False,True,False,False,144805,76561199068251294,prosto bo$$
0.0,False,False,False,False,144805,76561198171814417,Faat
0.0,False,False,False,False,144805,76561199052717313,Worfy
0.0,False,False,False,False,144806,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144806,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144806,76561198002613044,frees.tyler
0.0,False,False,False,False,144806,76561198274174345,zig
0.0,False,False,False,False,144806,76561199433997570,Simple Dimple skins.army
,,,,,144806,76561199557907229,shawty#)$@
0.0,False,False,False,False,144806,76561198049602148,Moon
0.0,False,True,False,False,144806,76561199068251294,prosto bo$$
0.0,False,False,False,False,144806,76561198171814417,Faat
0.0,False,False,False,False,144806,76561199052717313,Worfy
0.0,False,False,False,False,144807,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144807,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144807,76561198002613044,frees.tyler
0.0,False,False,False,False,144807,76561198274174345,zig
0.0,False,False,False,False,144807,76561199433997570,Simple Dimple skins.army
,,,,,144807,76561199557907229,shawty#)$@
0.0,False,False,False,False,144807,76561198049602148,Moon
0.0,False,True,False,False,144807,76561199068251294,prosto bo$$
0.0,False,False,False,False,144807,76561198171814417,Faat
0.0,False,False,False,False,144807,76561199052717313,Worfy
0.0,False,False,False,False,144808,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144808,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144808,76561198002613044,frees.tyler
0.0,False,False,False,False,144808,76561198274174345,zig
0.0,False,False,False,False,144808,76561199433997570,Simple Dimple skins.army
,,,,,144808,76561199557907229,shawty#)$@
0.0,False,False,False,False,144808,76561198049602148,Moon
0.0,False,True,False,False,144808,76561199068251294,prosto bo$$
0.0,False,False,False,False,144808,76561198171814417,Faat
0.0,False,False,False,False,144808,76561199052717313,Worfy
0.0,False,False,False,False,144809,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144809,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144809,76561198002613044,frees.tyler
0.0,False,False,False,False,144809,76561198274174345,zig
0.0,False,False,False,False,144809,76561199433997570,Simple Dimple skins.army
,,,,,144809,76561199557907229,shawty#)$@
0.0,False,False,False,False,144809,76561198049602148,Moon
0.0,False,True,False,False,144809,76561199068251294,prosto bo$$
0.0,False,False,False,False,144809,76561198171814417,Faat
0.0,False,False,False,False,144809,76561199052717313,Worfy
0.0,False,False,False,False,144810,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144810,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144810,76561198002613044,frees.tyler
0.0,False,False,False,False,144810,76561198274174345,zig
0.0,False,False,False,False,144810,76561199433997570,Simple Dimple skins.army
,,,,,144810,76561199557907229,shawty#)$@
0.0,False,False,False,False,144810,76561198049602148,Moon
0.0,False,True,False,False,144810,76561199068251294,prosto bo$$
0.0,False,False,False,False,144810,76561198171814417,Faat
0.0,False,False,False,False,144810,76561199052717313,Worfy
0.0,False,False,False,False,144811,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144811,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144811,76561198002613044,frees.tyler
0.0,False,False,False,False,144811,76561198274174345,zig
0.0,False,False,False,False,144811,76561199433997570,Simple Dimple skins.army
,,,,,144811,76561199557907229,shawty#)$@
0.0,False,False,False,False,144811,76561198049602148,Moon
0.0,False,True,False,False,144811,76561199068251294,prosto bo$$
0.0,False,False,False,False,144811,76561198171814417,Faat
0.0,False,False,False,False,144811,76561199052717313,Worfy
0.0,False,False,False,False,144812,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144812,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144812,76561198002613044,frees.tyler
0.0,False,False,False,False,144812,76561198274174345,zig
0.0,False,False,False,False,144812,76561199433997570,Simple Dimple skins.army
,,,,,144812,76561199557907229,shawty#)$@
0.0,False,False,False,False,144812,76561198049602148,Moon
0.0,False,True,False,False,144812,76561199068251294,prosto bo$$
0.0,False,False,False,False,144812,76561198171814417,Faat
0.0,False,False,False,False,144812,76561199052717313,Worfy
0.0,False,False,False,False,144813,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144813,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144813,76561198002613044,frees.tyler
0.0,False,False,False,False,144813,76561198274174345,zig
0.0,False,False,False,False,144813,76561199433997570,Simple Dimple skins.army
,,,,,144813,76561199557907229,shawty#)$@
0.0,False,False,False,False,144813,76561198049602148,Moon
0.0,False,True,False,False,144813,76561199068251294,prosto bo$$
0.0,False,False,False,False,144813,76561198171814417,Faat
0.0,False,False,False,False,144813,76561199052717313,Worfy
0.0,False,False,False,False,144814,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144814,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144814,76561198002613044,frees.tyler
0.0,False,False,False,False,144814,76561198274174345,zig
0.0,False,False,False,False,144814,76561199433997570,Simple Dimple skins.army
,,,,,144814,76561199557907229,shawty#)$@
0.0,False,False,False,False,144814,76561198049602148,Moon
0.0,False,True,False,False,144814,76561199068251294,prosto bo$$
0.0,False,False,False,False,144814,76561198171814417,Faat
0.0,False,False,False,False,144814,76561199052717313,Worfy
0.0,False,False,False,False,144815,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144815,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144815,76561198002613044,frees.tyler
0.0,False,False,False,False,144815,76561198274174345,zig
0.0,False,False,False,False,144815,76561199433997570,Simple Dimple skins.army
,,,,,144815,76561199557907229,shawty#)$@
0.0,False,False,False,False,144815,76561198049602148,Moon
0.0,False,True,False,False,144815,76561199068251294,prosto bo$$
0.0,False,False,False,False,144815,76561198171814417,Faat
0.0,False,False,False,False,144815,76561199052717313,Worfy
0.0,False,False,False,False,144816,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144816,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144816,76561198002613044,frees.tyler
0.0,False,False,False,False,144816,76561198274174345,zig
0.0,False,False,False,False,144816,76561199433997570,Simple Dimple skins.army
,,,,,144816,76561199557907229,shawty#)$@
0.0,False,False,False,False,144816,76561198049602148,Moon
0.0,False,True,False,False,144816,76561199068251294,prosto bo$$
0.0,False,False,False,False,144816,76561198171814417,Faat
0.0,False,False,False,False,144816,76561199052717313,Worfy
0.0,False,False,False,False,144817,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144817,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144817,76561198002613044,frees.tyler
0.0,False,False,False,False,144817,76561198274174345,zig
0.0,False,False,False,False,144817,76561199433997570,Simple Dimple skins.army
,,,,,144817,76561199557907229,shawty#)$@
0.0,False,False,False,False,144817,76561198049602148,Moon
0.0,False,True,False,False,144817,76561199068251294,prosto bo$$
0.0,False,False,False,False,144817,76561198171814417,Faat
0.0,False,False,False,False,144817,76561199052717313,Worfy
0.0,False,False,False,False,144818,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144818,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144818,76561198002613044,frees.tyler
0.0,False,False,False,False,144818,76561198274174345,zig
0.0,False,False,False,False,144818,76561199433997570,Simple Dimple skins.army
,,,,,144818,76561199557907229,shawty#)$@
0.0,False,False,False,False,144818,76561198049602148,Moon
0.0,False,True,False,False,144818,76561199068251294,prosto bo$$
0.0,False,False,False,False,144818,76561198171814417,Faat
0.0,False,False,False,False,144818,76561199052717313,Worfy
0.0,False,False,False,False,144819,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144819,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144819,76561198002613044,frees.tyler
0.0,False,False,False,False,144819,76561198274174345,zig
0.0,False,False,False,False,144819,76561199433997570,Simple Dimple skins.army
,,,,,144819,76561199557907229,shawty#)$@
0.0,False,False,False,False,144819,76561198049602148,Moon
0.0,False,True,False,False,144819,76561199068251294,prosto bo$$
0.0,False,False,False,False,144819,76561198171814417,Faat
0.0,False,False,False,False,144819,76561199052717313,Worfy
0.0,False,False,False,False,144820,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144820,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144820,76561198002613044,frees.tyler
0.0,False,False,False,False,144820,76561198274174345,zig
0.0,False,False,False,False,144820,76561199433997570,Simple Dimple skins.army
,,,,,144820,76561199557907229,shawty#)$@
0.0,False,False,False,False,144820,76561198049602148,Moon
0.0,False,True,False,False,144820,76561199068251294,prosto bo$$
0.0,False,False,False,False,144820,76561198171814417,Faat
0.0,False,False,False,False,144820,76561199052717313,Worfy
0.0,False,False,False,False,144821,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144821,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144821,76561198002613044,frees.tyler
0.0,False,False,False,False,144821,76561198274174345,zig
0.0,False,False,False,False,144821,76561199433997570,Simple Dimple skins.army
,,,,,144821,76561199557907229,shawty#)$@
0.0,False,False,False,False,144821,76561198049602148,Moon
0.0,False,True,False,False,144821,76561199068251294,prosto bo$$
0.0,False,False,False,False,144821,76561198171814417,Faat
0.0,False,False,False,False,144821,76561199052717313,Worfy
0.0,False,False,False,False,144822,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144822,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144822,76561198002613044,frees.tyler
0.0,False,False,False,False,144822,76561198274174345,zig
0.0,False,False,False,False,144822,76561199433997570,Simple Dimple skins.army
,,,,,144822,76561199557907229,shawty#)$@
0.0,False,False,False,False,144822,76561198049602148,Moon
0.0,False,True,False,False,144822,76561199068251294,prosto bo$$
0.0,False,False,False,False,144822,76561198171814417,Faat
0.0,False,False,False,False,144822,76561199052717313,Worfy
0.0,False,False,False,False,144823,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144823,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144823,76561198002613044,frees.tyler
0.0,False,False,False,False,144823,76561198274174345,zig
0.0,False,False,False,False,144823,76561199433997570,Simple Dimple skins.army
,,,,,144823,76561199557907229,shawty#)$@
0.0,False,False,False,False,144823,76561198049602148,Moon
0.0,False,True,False,False,144823,76561199068251294,prosto bo$$
0.0,False,False,False,False,144823,76561198171814417,Faat
0.0,False,False,False,False,144823,76561199052717313,Worfy
0.0,False,False,False,False,144824,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144824,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144824,76561198002613044,frees.tyler
0.0,False,False,False,False,144824,76561198274174345,zig
0.0,False,False,False,False,144824,76561199433997570,Simple Dimple skins.army
,,,,,144824,76561199557907229,shawty#)$@
0.0,False,False,False,False,144824,76561198049602148,Moon
0.0,False,True,False,False,144824,76561199068251294,prosto bo$$
0.0,False,False,False,False,144824,76561198171814417,Faat
0.0,False,False,False,False,144824,76561199052717313,Worfy
0.0,False,False,False,False,144825,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144825,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144825,76561198002613044,frees.tyler
0.0,False,False,False,False,144825,76561198274174345,zig
0.0,False,False,False,False,144825,76561199433997570,Simple Dimple skins.army
,,,,,144825,76561199557907229,shawty#)$@
0.0,False,False,False,False,144825,76561198049602148,Moon
0.0,False,True,False,False,144825,76561199068251294,prosto bo$$
0.0,False,False,False,False,144825,76561198171814417,Faat
0.0,False,False,False,False,144825,76561199052717313,Worfy
0.0,False,False,False,False,144826,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144826,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144826,76561198002613044,frees.tyler
0.0,False,False,False,False,144826,76561198274174345,zig
0.0,False,False,False,False,144826,76561199433997570,Simple Dimple skins.army
,,,,,144826,76561199557907229,shawty#)$@
0.0,False,False,False,False,144826,76561198049602148,Moon
0.0,False,True,False,False,144826,76561199068251294,prosto bo$$
0.0,False,False,False,False,144826,76561198171814417,Faat
0.0,False,False,False,False,144826,76561199052717313,Worfy
0.0,False,False,False,False,144827,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144827,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144827,76561198002613044,frees.tyler
0.0,False,False,False,False,144827,76561198274174345,zig
0.0,False,False,False,False,144827,76561199433997570,Simple Dimple skins.army
,,,,,144827,76561199557907229,shawty#)$@
0.0,False,False,False,False,144827,76561198049602148,Moon
0.0,False,True,False,False,144827,76561199068251294,prosto bo$$
0.0,False,False,False,False,144827,76561198171814417,Faat
0.0,False,False,False,False,144827,76561199052717313,Worfy
0.0,False,False,False,False,144828,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144828,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144828,76561198002613044,frees.tyler
0.0,False,False,False,False,144828,76561198274174345,zig
0.0,False,False,False,False,144828,76561199433997570,Simple Dimple skins.army
,,,,,144828,76561199557907229,shawty#)$@
0.0,False,False,False,False,144828,76561198049602148,Moon
0.0,False,True,False,False,144828,76561199068251294,prosto bo$$
0.0,False,False,False,False,144828,76561198171814417,Faat
0.0,False,False,False,False,144828,76561199052717313,Worfy
0.0,False,False,False,False,144829,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144829,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144829,76561198002613044,frees.tyler
0.0,False,False,False,False,144829,76561198274174345,zig
0.0,False,False,False,False,144829,76561199433997570,Simple Dimple skins.army
,,,,,144829,76561199557907229,shawty#)$@
0.0,False,False,False,False,144829,76561198049602148,Moon
0.0,False,True,False,False,144829,76561199068251294,prosto bo$$
0.0,False,False,False,False,144829,76561198171814417,Faat
0.0,False,False,False,False,144829,76561199052717313,Worfy
0.0,False,False,False,False,144830,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144830,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144830,76561198002613044,frees.tyler
0.0,False,False,False,False,144830,76561198274174345,zig
0.0,False,False,False,False,144830,76561199433997570,Simple Dimple skins.army
,,,,,144830,76561199557907229,shawty#)$@
0.0,False,False,False,False,144830,76561198049602148,Moon
0.0,False,True,False,False,144830,76561199068251294,prosto bo$$
0.0,False,False,False,False,144830,76561198171814417,Faat
0.0,False,False,False,False,144830,76561199052717313,Worfy
0.0,False,False,False,False,144831,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144831,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144831,76561198002613044,frees.tyler
0.0,False,False,False,False,144831,76561198274174345,zig
0.0,False,False,False,False,144831,76561199433997570,Simple Dimple skins.army
,,,,,144831,76561199557907229,shawty#)$@
0.0,False,False,False,False,144831,76561198049602148,Moon
0.0,False,True,False,False,144831,76561199068251294,prosto bo$$
0.0,False,False,False,False,144831,76561198171814417,Faat
0.0,False,False,False,False,144831,76561199052717313,Worfy
0.0,False,False,False,False,144832,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144832,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144832,76561198002613044,frees.tyler
0.0,False,False,False,False,144832,76561198274174345,zig
0.0,False,False,False,False,144832,76561199433997570,Simple Dimple skins.army
,,,,,144832,76561199557907229,shawty#)$@
0.0,False,False,False,False,144832,76561198049602148,Moon
0.0,False,True,False,False,144832,76561199068251294,prosto bo$$
0.0,False,False,False,False,144832,76561198171814417,Faat
0.0,False,False,False,False,144832,76561199052717313,Worfy
0.0,False,False,False,False,144833,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144833,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144833,76561198002613044,frees.tyler
0.0,False,False,False,False,144833,76561198274174345,zig
0.0,False,False,False,False,144833,76561199433997570,Simple Dimple skins.army
,,,,,144833,76561199557907229,shawty#)$@
0.0,False,False,False,False,144833,76561198049602148,Moon
0.0,False,True,False,False,144833,76561199068251294,prosto bo$$
0.0,False,False,False,False,144833,76561198171814417,Faat
0.0,False,False,False,False,144833,76561199052717313,Worfy
0.0,False,False,False,False,144834,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144834,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144834,76561198002613044,frees.tyler
0.0,False,False,False,False,144834,76561198274174345,zig
0.0,False,False,False,False,144834,76561199433997570,Simple Dimple skins.army
,,,,,144834,76561199557907229,shawty#)$@
0.0,False,False,False,False,144834,76561198049602148,Moon
0.0,False,True,False,False,144834,76561199068251294,prosto bo$$
0.0,False,False,False,False,144834,76561198171814417,Faat
0.0,False,False,False,False,144834,76561199052717313,Worfy
0.0,False,False,False,False,144835,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144835,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144835,76561198002613044,frees.tyler
0.0,False,False,False,False,144835,76561198274174345,zig
0.0,False,False,False,False,144835,76561199433997570,Simple Dimple skins.army
,,,,,144835,76561199557907229,shawty#)$@
0.0,False,False,False,False,144835,76561198049602148,Moon
0.0,False,True,False,False,144835,76561199068251294,prosto bo$$
0.0,False,False,False,False,144835,76561198171814417,Faat
0.0,False,False,False,False,144835,76561199052717313,Worfy
0.0,False,False,False,False,144836,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144836,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144836,76561198002613044,frees.tyler
0.0,False,False,False,False,144836,76561198274174345,zig
0.0,False,False,False,False,144836,76561199433997570,Simple Dimple skins.army
,,,,,144836,76561199557907229,shawty#)$@
0.0,False,False,False,False,144836,76561198049602148,Moon
0.0,False,True,False,False,144836,76561199068251294,prosto bo$$
0.0,False,False,False,False,144836,76561198171814417,Faat
0.0,False,False,False,False,144836,76561199052717313,Worfy
0.0,False,False,False,False,144837,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144837,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144837,76561198002613044,frees.tyler
0.0,False,False,False,False,144837,76561198274174345,zig
0.0,False,False,False,False,144837,76561199433997570,Simple Dimple skins.army
,,,,,144837,76561199557907229,shawty#)$@
0.0,False,False,False,False,144837,76561198049602148,Moon
0.0,False,True,False,False,144837,76561199068251294,prosto bo$$
0.0,False,False,False,False,144837,76561198171814417,Faat
0.0,False,False,False,False,144837,76561199052717313,Worfy
0.0,False,False,False,False,144838,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144838,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144838,76561198002613044,frees.tyler
0.0,False,False,False,False,144838,76561198274174345,zig
0.0,False,False,False,False,144838,76561199433997570,Simple Dimple skins.army
,,,,,144838,76561199557907229,shawty#)$@
0.0,False,False,False,False,144838,76561198049602148,Moon
0.0,False,True,False,False,144838,76561199068251294,prosto bo$$
0.0,False,False,False,False,144838,76561198171814417,Faat
0.0,False,False,False,False,144838,76561199052717313,Worfy
0.0,False,False,False,False,144839,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144839,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144839,76561198002613044,frees.tyler
0.0,False,False,False,False,144839,76561198274174345,zig
0.0,False,False,False,False,144839,76561199433997570,Simple Dimple skins.army
,,,,,144839,76561199557907229,shawty#)$@
0.0,False,False,False,False,144839,76561198049602148,Moon
0.0,False,True,False,False,144839,76561199068251294,prosto bo$$
0.0,False,False,False,False,144839,76561198171814417,Faat
0.0,False,False,False,False,144839,76561199052717313,Worfy
0.0,False,False,False,False,144840,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,144840,76561199826895670,RME | Пацан
8589934600.0,False,False,False,False,144840,76561198002613044,frees.tyler
