total_rounds_played,cash_spent_this_round,kills_total,deaths_total,assists_total,score,mvps,tick,steamid,name
0,3700,2,0,0,4,0,5,76561198274174345,zig
0,0,0,0,0,0,0,5,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,5,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,5,76561198049602148,Moon
0,11500,0,2,0,0,0,5,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,5,76561198171814417,Faat
0,2700,2,0,0,4,0,5,76561199052717313,Worfy
0,0,0,0,0,0,0,6,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,6,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,6,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,6,76561198274174345,zig
0,0,0,0,0,0,0,6,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,6,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,6,76561198049602148,Moon
0,11500,0,2,0,0,0,6,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,6,76561198171814417,Faat
0,2700,2,0,0,4,0,6,76561199052717313,Worfy
0,0,0,0,0,0,0,7,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,7,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,7,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,7,76561198274174345,zig
0,0,0,0,0,0,0,7,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,7,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,7,76561198049602148,Moon
0,11500,0,2,0,0,0,7,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,7,76561198171814417,Faat
0,2700,2,0,0,4,0,7,76561199052717313,Worfy
0,0,0,0,0,0,0,8,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,8,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,8,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,8,76561198274174345,zig
0,0,0,0,0,0,0,8,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,8,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,8,76561198049602148,Moon
0,11500,0,2,0,0,0,8,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,8,76561198171814417,Faat
0,2700,2,0,0,4,0,8,76561199052717313,Worfy
0,0,0,0,0,0,0,9,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,9,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,9,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,9,76561198274174345,zig
0,0,0,0,0,0,0,9,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,9,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,9,76561198049602148,Moon
0,11500,0,2,0,0,0,9,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,9,76561198171814417,Faat
0,2700,2,0,0,4,0,9,76561199052717313,Worfy
0,0,0,0,0,0,0,10,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,10,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,10,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,10,76561198274174345,zig
0,0,0,0,0,0,0,10,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,10,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,10,76561198049602148,Moon
0,11500,0,2,0,0,0,10,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,10,76561198171814417,Faat
0,2700,2,0,0,4,0,10,76561199052717313,Worfy
0,0,0,0,0,0,0,11,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,11,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,11,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,11,76561198274174345,zig
0,0,0,0,0,0,0,11,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,11,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,11,76561198049602148,Moon
0,11500,0,2,0,0,0,11,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,11,76561198171814417,Faat
0,2700,2,0,0,4,0,11,76561199052717313,Worfy
0,0,0,0,0,0,0,12,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,12,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,12,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,12,76561198274174345,zig
0,0,0,0,0,0,0,12,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,12,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,12,76561198049602148,Moon
0,11500,0,2,0,0,0,12,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,12,76561198171814417,Faat
0,2700,2,0,0,4,0,12,76561199052717313,Worfy
0,0,0,0,0,0,0,13,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,13,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,13,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,13,76561198274174345,zig
0,0,0,0,0,0,0,13,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,13,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,13,76561198049602148,Moon
0,11500,0,2,0,0,0,13,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,13,76561198171814417,Faat
0,2700,2,0,0,4,0,13,76561199052717313,Worfy
0,0,0,0,0,0,0,14,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,14,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,14,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,14,76561198274174345,zig
0,0,0,0,0,0,0,14,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,14,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,14,76561198049602148,Moon
0,11500,0,2,0,0,0,14,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,14,76561198171814417,Faat
0,2700,2,0,0,4,0,14,76561199052717313,Worfy
0,0,0,0,0,0,0,15,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,15,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,15,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,15,76561198274174345,zig
0,0,0,0,0,0,0,15,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,15,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,15,76561198049602148,Moon
0,11500,0,2,0,0,0,15,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,15,76561198171814417,Faat
0,2700,2,0,0,4,0,15,76561199052717313,Worfy
0,0,0,0,0,0,0,16,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,16,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,16,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,16,76561198274174345,zig
0,0,0,0,0,0,0,16,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,16,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,16,76561198049602148,Moon
0,11500,0,2,0,0,0,16,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,16,76561198171814417,Faat
0,2700,2,0,0,4,0,16,76561199052717313,Worfy
0,0,0,0,0,0,0,17,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,17,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,17,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,17,76561198274174345,zig
0,0,0,0,0,0,0,17,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,17,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,17,76561198049602148,Moon
0,11500,0,2,0,0,0,17,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,17,76561198171814417,Faat
0,2700,2,0,0,4,0,17,76561199052717313,Worfy
0,0,0,0,0,0,0,18,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,18,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,18,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,18,76561198274174345,zig
0,0,0,0,0,0,0,18,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,18,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,18,76561198049602148,Moon
0,11500,0,2,0,0,0,18,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,18,76561198171814417,Faat
0,2700,2,0,0,4,0,18,76561199052717313,Worfy
0,0,0,0,0,0,0,19,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,19,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,19,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,19,76561198274174345,zig
0,0,0,0,0,0,0,19,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,19,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,19,76561198049602148,Moon
0,11500,0,2,0,0,0,19,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,19,76561198171814417,Faat
0,2700,2,0,0,4,0,19,76561199052717313,Worfy
0,0,0,0,0,0,0,20,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,20,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,20,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,20,76561198274174345,zig
0,0,0,0,0,0,0,20,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,20,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,20,76561198049602148,Moon
0,11500,0,2,0,0,0,20,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,20,76561198171814417,Faat
0,2700,2,0,0,4,0,20,76561199052717313,Worfy
0,0,0,0,0,0,0,21,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,21,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,21,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,21,76561198274174345,zig
0,0,0,0,0,0,0,21,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,21,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,21,76561198049602148,Moon
0,11500,0,2,0,0,0,21,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,21,76561198171814417,Faat
0,2700,2,0,0,4,0,21,76561199052717313,Worfy
0,0,0,0,0,0,0,22,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,22,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,22,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,22,76561198274174345,zig
0,0,0,0,0,0,0,22,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,22,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,22,76561198049602148,Moon
0,11500,0,2,0,0,0,22,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,22,76561198171814417,Faat
0,2700,2,0,0,4,0,22,76561199052717313,Worfy
0,0,0,0,0,0,0,23,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,23,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,23,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,23,76561198274174345,zig
0,0,0,0,0,0,0,23,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,23,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,23,76561198049602148,Moon
0,11500,0,2,0,0,0,23,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,23,76561198171814417,Faat
0,2700,2,0,0,4,0,23,76561199052717313,Worfy
0,0,0,0,0,0,0,24,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,24,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,24,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,24,76561198274174345,zig
0,0,0,0,0,0,0,24,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,24,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,24,76561198049602148,Moon
0,11500,0,2,0,0,0,24,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,24,76561198171814417,Faat
0,2700,2,0,0,4,0,24,76561199052717313,Worfy
0,0,0,0,0,0,0,25,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,25,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,25,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,25,76561198274174345,zig
0,0,0,0,0,0,0,25,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,25,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,25,76561198049602148,Moon
0,11500,0,2,0,0,0,25,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,25,76561198171814417,Faat
0,2700,2,0,0,4,0,25,76561199052717313,Worfy
0,0,0,0,0,0,0,26,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,26,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,26,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,26,76561198274174345,zig
0,0,0,0,0,0,0,26,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,26,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,26,76561198049602148,Moon
0,11500,0,2,0,0,0,26,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,26,76561198171814417,Faat
0,2700,2,0,0,4,0,26,76561199052717313,Worfy
0,0,0,0,0,0,0,27,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,27,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,27,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,27,76561198274174345,zig
0,0,0,0,0,0,0,27,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,27,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,27,76561198049602148,Moon
0,11500,0,2,0,0,0,27,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,27,76561198171814417,Faat
0,2700,2,0,0,4,0,27,76561199052717313,Worfy
0,0,0,0,0,0,0,28,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,28,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,28,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,28,76561198274174345,zig
0,0,0,0,0,0,0,28,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,28,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,28,76561198049602148,Moon
0,11500,0,2,0,0,0,28,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,28,76561198171814417,Faat
0,2700,2,0,0,4,0,28,76561199052717313,Worfy
0,0,0,0,0,0,0,29,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,29,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,29,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,29,76561198274174345,zig
0,0,0,0,0,0,0,29,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,29,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,29,76561198049602148,Moon
0,11500,0,2,0,0,0,29,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,29,76561198171814417,Faat
0,2700,2,0,0,4,0,29,76561199052717313,Worfy
0,0,0,0,0,0,0,30,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,30,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,30,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,30,76561198274174345,zig
0,0,0,0,0,0,0,30,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,30,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,30,76561198049602148,Moon
0,11500,0,2,0,0,0,30,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,30,76561198171814417,Faat
0,2700,2,0,0,4,0,30,76561199052717313,Worfy
0,0,0,0,0,0,0,31,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,31,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,31,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,31,76561198274174345,zig
0,0,0,0,0,0,0,31,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,31,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,31,76561198049602148,Moon
0,11500,0,2,0,0,0,31,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,31,76561198171814417,Faat
0,2700,2,0,0,4,0,31,76561199052717313,Worfy
0,0,0,0,0,0,0,32,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,32,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,32,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,32,76561198274174345,zig
0,0,0,0,0,0,0,32,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,32,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,32,76561198049602148,Moon
0,11500,0,2,0,0,0,32,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,32,76561198171814417,Faat
0,2700,2,0,0,4,0,32,76561199052717313,Worfy
0,0,0,0,0,0,0,33,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,33,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,33,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,33,76561198274174345,zig
0,0,0,0,0,0,0,33,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,33,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,33,76561198049602148,Moon
0,11500,0,2,0,0,0,33,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,33,76561198171814417,Faat
0,2700,2,0,0,4,0,33,76561199052717313,Worfy
0,0,0,0,0,0,0,34,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,34,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,34,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,34,76561198274174345,zig
0,0,0,0,0,0,0,34,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,34,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,34,76561198049602148,Moon
0,11500,0,2,0,0,0,34,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,34,76561198171814417,Faat
0,2700,2,0,0,4,0,34,76561199052717313,Worfy
0,0,0,0,0,0,0,35,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,35,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,35,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,35,76561198274174345,zig
0,0,0,0,0,0,0,35,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,35,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,35,76561198049602148,Moon
0,11500,0,2,0,0,0,35,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,35,76561198171814417,Faat
0,2700,2,0,0,4,0,35,76561199052717313,Worfy
0,0,0,0,0,0,0,36,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,36,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,36,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,36,76561198274174345,zig
0,0,0,0,0,0,0,36,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,36,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,36,76561198049602148,Moon
0,11500,0,2,0,0,0,36,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,36,76561198171814417,Faat
0,2700,2,0,0,4,0,36,76561199052717313,Worfy
0,0,0,0,0,0,0,37,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,37,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,37,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,37,76561198274174345,zig
0,0,0,0,0,0,0,37,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,37,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,37,76561198049602148,Moon
0,11500,0,2,0,0,0,37,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,37,76561198171814417,Faat
0,2700,2,0,0,4,0,37,76561199052717313,Worfy
0,0,0,0,0,0,0,38,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,38,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,38,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,38,76561198274174345,zig
0,0,0,0,0,0,0,38,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,38,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,38,76561198049602148,Moon
0,11500,0,2,0,0,0,38,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,38,76561198171814417,Faat
0,2700,2,0,0,4,0,38,76561199052717313,Worfy
0,0,0,0,0,0,0,39,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,39,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,39,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,39,76561198274174345,zig
0,0,0,0,0,0,0,39,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,39,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,39,76561198049602148,Moon
0,11500,0,2,0,0,0,39,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,39,76561198171814417,Faat
0,2700,2,0,0,4,0,39,76561199052717313,Worfy
0,0,0,0,0,0,0,40,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,40,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,40,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,40,76561198274174345,zig
0,0,0,0,0,0,0,40,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,40,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,40,76561198049602148,Moon
0,11500,0,2,0,0,0,40,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,40,76561198171814417,Faat
0,2700,2,0,0,4,0,40,76561199052717313,Worfy
0,0,0,0,0,0,0,41,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,41,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,41,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,41,76561198274174345,zig
0,0,0,0,0,0,0,41,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,41,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,41,76561198049602148,Moon
0,11500,0,2,0,0,0,41,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,41,76561198171814417,Faat
0,2700,2,0,0,4,0,41,76561199052717313,Worfy
0,0,0,0,0,0,0,42,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,42,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,42,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,42,76561198274174345,zig
0,0,0,0,0,0,0,42,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,42,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,42,76561198049602148,Moon
0,11500,0,2,0,0,0,42,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,42,76561198171814417,Faat
0,2700,2,0,0,4,0,42,76561199052717313,Worfy
0,0,0,0,0,0,0,43,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,43,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,43,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,43,76561198274174345,zig
0,0,0,0,0,0,0,43,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,43,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,43,76561198049602148,Moon
0,11500,0,2,0,0,0,43,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,43,76561198171814417,Faat
0,2700,2,0,0,4,0,43,76561199052717313,Worfy
0,0,0,0,0,0,0,44,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,44,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,44,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,44,76561198274174345,zig
0,0,0,0,0,0,0,44,76561199433997570,Simple Dimple skins.army
0,9500,0,3,0,0,0,44,76561199557907229,shawty#)$@
0,6550,0,0,0,0,0,44,76561198049602148,Moon
0,11500,0,2,0,0,0,44,76561199068251294,prosto bo$$
0,8450,1,0,1,3,0,44,76561198171814417,Faat
0,2700,2,0,0,4,0,44,76561199052717313,Worfy
0,0,0,0,0,0,0,45,76561199256543526,Wybaczam.oficjalnie skins.army
0,0,0,0,0,0,0,45,76561199826895670,RME | Пацан
0,0,0,0,0,0,0,45,76561198002613044,frees.tyler
0,3700,2,0,0,4,0,45,76561198274174345,zig
