buttons,is_walking,is_scoped,is_defusing,is_grabbing_hostage,tick,steamid,name
0.0,False,False,False,False,1,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,1,76561199826895670,RME | Пацан
0.0,False,False,False,False,1,76561198002613044,frees.tyler
0.0,False,False,False,False,1,76561198274174345,zig
0.0,False,False,False,False,1,76561199433997570,Simple Dimple skins.army
512.0,False,False,False,False,1,76561199557907229,shawty#)$@
520.0,False,False,False,False,1,76561198049602148,Moon
512.0,False,False,False,False,1,76561199068251294,prosto bo$$
8589934592.0,False,False,False,False,1,76561198171814417,Faat
0.0,False,False,False,False,1,76561199052717313,Worfy
0.0,False,False,False,False,2,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,2,76561199826895670,RME | Пацан
0.0,False,False,False,False,2,76561198002613044,frees.tyler
0.0,False,False,False,False,2,76561198274174345,zig
0.0,False,False,False,False,2,76561199433997570,Simple Dimple skins.army
0.0,False,False,False,False,2,76561199557907229,shawty#)$@
0.0,False,False,False,False,2,76561198049602148,Moon
0.0,False,False,False,False,2,76561199068251294,prosto bo$$
0.0,False,False,False,False,2,76561198171814417,Faat
0.0,False,False,False,False,2,76561199052717313,Worfy
0.0,False,False,False,False,3,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,3,76561199826895670,RME | Пацан
0.0,False,False,False,False,3,76561198002613044,frees.tyler
0.0,False,False,False,False,3,76561198274174345,zig
0.0,False,False,False,False,3,76561199433997570,Simple Dimple skins.army
0.0,False,False,False,False,3,76561199557907229,shawty#)$@
0.0,False,False,False,False,3,76561198049602148,Moon
0.0,False,False,False,False,3,76561199068251294,prosto bo$$
0.0,False,False,False,False,3,76561198171814417,Faat
0.0,False,False,False,False,3,76561199052717313,Worfy
0.0,False,False,False,False,4,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,4,76561199826895670,RME | Пацан
0.0,False,False,False,False,4,76561198002613044,frees.tyler
0.0,False,False,False,False,4,76561198274174345,zig
0.0,False,False,False,False,4,76561199433997570,Simple Dimple skins.army
0.0,False,False,False,False,4,76561199557907229,shawty#)$@
0.0,False,False,False,False,4,76561198049602148,Moon
0.0,False,False,False,False,4,76561199068251294,prosto bo$$
0.0,False,False,False,False,4,76561198171814417,Faat
0.0,False,False,False,False,4,76561199052717313,Worfy
0.0,False,False,False,False,5,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,5,76561199826895670,RME | Пацан
0.0,False,False,False,False,5,76561198002613044,frees.tyler
0.0,False,False,False,False,5,76561198274174345,zig
0.0,False,False,False,False,5,76561199433997570,Simple Dimple skins.army
0.0,False,False,False,False,5,76561199557907229,shawty#)$@
0.0,False,False,False,False,5,76561198049602148,Moon
0.0,False,False,False,False,5,76561199068251294,prosto bo$$
0.0,False,False,False,False,5,76561198171814417,Faat
0.0,False,False,False,False,5,76561199052717313,Worfy
0.0,False,False,False,False,6,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,6,76561199826895670,RME | Пацан
0.0,False,False,False,False,6,76561198002613044,frees.tyler
0.0,False,False,False,False,6,76561198274174345,zig
0.0,False,False,False,False,6,76561199433997570,Simple Dimple skins.army
0.0,False,False,False,False,6,76561199557907229,shawty#)$@
0.0,False,False,False,False,6,76561198049602148,Moon
0.0,False,False,False,False,6,76561199068251294,prosto bo$$
0.0,False,False,False,False,6,76561198171814417,Faat
0.0,False,False,False,False,6,76561199052717313,Worfy
0.0,False,False,False,False,7,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,7,76561199826895670,RME | Пацан
0.0,False,False,False,False,7,76561198002613044,frees.tyler
0.0,False,False,False,False,7,76561198274174345,zig
0.0,False,False,False,False,7,76561199433997570,Simple Dimple skins.army
0.0,False,False,False,False,7,76561199557907229,shawty#)$@
0.0,False,False,False,False,7,76561198049602148,Moon
0.0,False,False,False,False,7,76561199068251294,prosto bo$$
0.0,False,False,False,False,7,76561198171814417,Faat
0.0,False,False,False,False,7,76561199052717313,Worfy
0.0,False,False,False,False,8,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,8,76561199826895670,RME | Пацан
0.0,False,False,False,False,8,76561198002613044,frees.tyler
0.0,False,False,False,False,8,76561198274174345,zig
0.0,False,False,False,False,8,76561199433997570,Simple Dimple skins.army
0.0,False,False,False,False,8,76561199557907229,shawty#)$@
0.0,False,False,False,False,8,76561198049602148,Moon
0.0,False,False,False,False,8,76561199068251294,prosto bo$$
0.0,False,False,False,False,8,76561198171814417,Faat
0.0,False,False,False,False,8,76561199052717313,Worfy
0.0,False,False,False,False,9,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,9,76561199826895670,RME | Пацан
0.0,False,False,False,False,9,76561198002613044,frees.tyler
0.0,False,False,False,False,9,76561198274174345,zig
0.0,False,False,False,False,9,76561199433997570,Simple Dimple skins.army
0.0,False,False,False,False,9,76561199557907229,shawty#)$@
0.0,False,False,False,False,9,76561198049602148,Moon
0.0,False,False,False,False,9,76561199068251294,prosto bo$$
0.0,False,False,False,False,9,76561198171814417,Faat
0.0,False,False,False,False,9,76561199052717313,Worfy
0.0,False,False,False,False,10,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,10,76561199826895670,RME | Пацан
0.0,False,False,False,False,10,76561198002613044,frees.tyler
0.0,False,False,False,False,10,76561198274174345,zig
0.0,False,False,False,False,10,76561199433997570,Simple Dimple skins.army
0.0,False,False,False,False,10,76561199557907229,shawty#)$@
0.0,False,False,False,False,10,76561198049602148,Moon
0.0,False,False,False,False,10,76561199068251294,prosto bo$$
0.0,False,False,False,False,10,76561198171814417,Faat
0.0,False,False,False,False,10,76561199052717313,Worfy
0.0,False,False,False,False,11,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,11,76561199826895670,RME | Пацан
0.0,False,False,False,False,11,76561198002613044,frees.tyler
0.0,False,False,False,False,11,76561198274174345,zig
0.0,False,False,False,False,11,76561199433997570,Simple Dimple skins.army
0.0,False,False,False,False,11,76561199557907229,shawty#)$@
0.0,False,False,False,False,11,76561198049602148,Moon
0.0,False,False,False,False,11,76561199068251294,prosto bo$$
0.0,False,False,False,False,11,76561198171814417,Faat
0.0,False,False,False,False,11,76561199052717313,Worfy
0.0,False,False,False,False,12,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,12,76561199826895670,RME | Пацан
0.0,False,False,False,False,12,76561198002613044,frees.tyler
0.0,False,False,False,False,12,76561198274174345,zig
0.0,False,False,False,False,12,76561199433997570,Simple Dimple skins.army
0.0,False,False,False,False,12,76561199557907229,shawty#)$@
0.0,False,False,False,False,12,76561198049602148,Moon
0.0,False,False,False,False,12,76561199068251294,prosto bo$$
0.0,False,False,False,False,12,76561198171814417,Faat
0.0,False,False,False,False,12,76561199052717313,Worfy
0.0,False,False,False,False,13,76561199256543526,Wybaczam.oficjalnie skins.army
0.0,False,False,False,False,13,76561199826895670,RME | Пацан
0.0,False,False,False,False,13,76561198002613044,frees.tyler
0.0,False,False,False,False,13,76561198274174345,zig
