armor,health,move_type,duck_amount,duck_speed,flash_duration,flash_max_alpha,is_airborne,tick,steamid,name
0,100.0,2.0,0.0,8.0,0.0,0.0,False,1,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,1,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,1,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,1,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,1,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,1,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,1,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,1,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,1,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,1,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,2,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,2,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,2,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,2,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,2,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,2,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,2,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,2,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,2,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,2,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,3,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,3,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,3,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,3,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,3,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,3,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,3,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,3,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,3,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,3,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,4,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,4,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,4,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,4,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,4,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,4,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,4,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,4,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,4,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,4,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,5,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,5,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,5,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,5,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,5,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,5,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,5,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,5,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,5,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,5,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,6,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,6,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,6,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,6,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,6,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,6,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,6,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,6,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,6,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,6,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,7,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,7,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,7,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,7,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,7,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,7,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,7,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,7,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,7,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,7,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,8,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,8,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,8,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,8,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,8,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,8,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,8,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,8,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,8,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,8,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,9,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,9,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,9,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,9,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,9,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,9,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,9,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,9,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,9,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,9,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,10,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,10,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,10,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,10,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,10,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,10,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,10,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,10,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,10,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,10,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,11,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,11,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,11,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,11,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,11,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,11,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,11,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,11,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,11,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,11,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,12,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,12,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,12,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,12,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,12,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,12,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,12,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,12,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,12,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,12,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,13,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,13,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,13,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,13,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,13,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,13,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,13,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,13,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,13,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,13,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,14,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,14,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,14,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,14,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,14,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,14,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,True,14,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,14,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,14,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,14,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,15,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,15,76561199826895670,RME | Пацан
0,100.0,2.0,0.0,8.0,0.0,0.0,False,15,76561198002613044,frees.tyler
100,24.0,2.0,0.0,8.0,0.0,0.0,False,15,76561198274174345,zig
0,100.0,2.0,0.0,8.0,0.0,0.0,False,15,76561199433997570,Simple Dimple skins.army
0,0.0,0.0,0.0,8.0,0.0,0.0,False,15,76561199557907229,shawty#)$@
100,100.0,2.0,0.0,8.0,1.0039178,255.0,False,15,76561198049602148,Moon
0,78.0,2.0,0.0,8.0,0.0,0.0,False,15,76561199068251294,prosto bo$$
100,100.0,2.0,0.0,8.0,0.0,0.0,False,15,76561198171814417,Faat
0,100.0,2.0,0.0,8.0,0.0,0.0,False,15,76561199052717313,Worfy
0,100.0,2.0,0.0,8.0,0.0,0.0,False,16,76561199256543526,Wybaczam.oficjalnie skins.army
0,100.0,2.0,0.0,8.0,0.0,0.0,False,16,76561199826895670,RME | Пацан
