round_number,event_name,tick,user_steamid,user_name,site,haskit,entindex
19,bomb_dropped,127871,76561199826895670,RME | Пацан,,,91
20,bomb_pickup,129006,76561199433997570,Simple Dimple skins.army,,,
20,bomb_beginplant,131969,76561199433997570,Simple Dimple skins.army,169.0,,
20,bomb_planted,132169,76561199433997570,Simple Dimple skins.army,169.0,,
20,bomb_begindefuse,132879,76561198002613044,frees.tyler,,True,
20,bomb_defused,133199,76561198002613044,frees.tyler,169.0,,
21,bomb_pickup,133647,76561199256543526,Wybaczam.oficjalnie skins.army,,,
21,bomb_dropped,136132,76561199256543526,Wybaczam.oficjalnie skins.army,,,338
22,bomb_pickup,136580,76561199068251294,prosto bo$$,,,
22,bomb_dropped,136690,76561199068251294,prosto bo$$,,,136
22,bomb_dropped,141319,76561199068251294,prosto bo$$,,,136
22,bomb_pickup,141764,76561199826895670,RME | Пацан,,,
22,bomb_beginplant,142494,76561199826895670,RME | Пацан,169.0,,
22,bomb_planted,142695,76561199826895670,RME | Пацан,169.0,,
