event_name
round_time_warning
player_team
player_death
weapon_zoom
bullet_damage
decoy_detonate
round_announce_last_round_half
bomb_pickup
begin_new_match
inferno_startburn
flashbang_detonate
player_hurt
player_spawn
cs_pre_restart
server_cvar
cs_round_start_beep
round_prestart
round_freeze_end
weapon_fire
bomb_begindefuse
player_footstep
smokegrenade_expired
announce_phase_end
buytime_ended
player_disconnect
smokegrenade_detonate
hltv_versioninfo
weapon_reload
round_announce_match_start
inferno_expire
chat_message
item_equip
bomb_planted
cs_win_panel_match
bomb_beginplant
cs_round_final_beep
player_blind
round_announce_match_point
fire_bullets
rank_update
bomb_defused
player_bullet_hit
hegrenade_detonate
round_poststart
round_officially_ended
decoy_started
bomb_exploded
bomb_dropped
item_pickup
