steamid,name,team_number
76561198171814417,Faat,3
76561198049602148,Moon,3
76561198002613044,frees.tyler,3
76561198274174345,zig,3
76561199052717313,Worfy,3
76561199433997570,Simple Dimple skins.army,2
76561199256543526,Wybaczam.oficjalnie skins.army,2
76561199826895670,RME | Пацан,2
76561199557907229,shawty#)$@,2
76561199068251294,prosto bo$$,2
