tick
8303
8303
15401
15401
22873
22873
29302
29302
33975
33975
40113
40113
48024
48024
56042
56042
62398
62398
68200
68200
75829
75829
85014
85014
90796
90796
98388
98388
104877
104877
111651
111651
116518
116518
123894
123894
129006
129006
133647
133647
136580
136580
