tick,user_name,user_steamid
2919,Worfy,76561199052717313
3738,zig,76561198274174345
4281,Moon,76561198049602148
4600,shawty#)$@,76561199557907229
5916,RME | Пацан,76561199826895670
7059,RME | Пацан,76561199826895670
11151,prosto bo$$,76561199068251294
11836,Simple Dimple skins.army,76561199433997570
11865,Moon,76561198049602148
12210,shawty#)$@,76561199557907229
17074,prosto bo$$,76561199068251294
17444,RME | Пацан,76561199826895670
17682,frees.tyler,76561198002613044
18410,Moon,76561198049602148
20882,prosto bo$$,76561199068251294
21696,prosto bo$$,76561199068251294
28908,zig,76561198274174345
31586,Wybaczam.oficjalnie skins.army,76561199256543526
32372,prosto bo$$,76561199068251294
34255,prosto bo$$,76561199068251294
34256,prosto bo$$,76561199068251294
34257,prosto bo$$,76561199068251294
34258,prosto bo$$,76561199068251294
37290,Worfy,76561199052717313
37356,Wybaczam.oficjalnie skins.army,76561199256543526
37668,Simple Dimple skins.army,76561199433997570
42652,Worfy,76561199052717313
43650,zig,76561198274174345
44570,Worfy,76561199052717313
47634,zig,76561198274174345
51538,frees.tyler,76561198002613044
51705,zig,76561198274174345
51856,RME | Пацан,76561199826895670
51978,RME | Пацан,76561199826895670
52039,prosto bo$$,76561199068251294
52561,RME | Пацан,76561199826895670
54674,Faat,76561198171814417
59067,prosto bo$$,76561199068251294
61530,shawty#)$@,76561199557907229
62398,RME | Пацан,76561199826895670
64334,prosto bo$$,76561199068251294
73216,zig,76561198274174345
73337,Worfy,76561199052717313
74350,prosto bo$$,76561199068251294
74544,RME | Пацан,76561199826895670
74747,Faat,76561198171814417
78189,prosto bo$$,76561199068251294
88212,Moon,76561198049602148
88263,prosto bo$$,76561199068251294
88672,Worfy,76561199052717313
88918,Simple Dimple skins.army,76561199433997570
89292,Worfy,76561199052717313
89490,RME | Пацан,76561199826895670
89738,RME | Пацан,76561199826895670
93211,prosto bo$$,76561199068251294
93632,shawty#)$@,76561199557907229
94529,prosto bo$$,76561199068251294
94614,shawty#)$@,76561199557907229
96909,Simple Dimple skins.army,76561199433997570
96954,shawty#)$@,76561199557907229
100889,RME | Пацан,76561199826895670
