aim_punch_x,aim_punch_y,aim_punch_z,attack_tick_count,attack_tick_frac,attacker_name,attacker_steamid,damage_dir_x,damage_dir_y,damage_dir_z,distance,in_air,inaccuracy_air,inaccuracy_move,inaccuracy_total,no_scope,num_penetrations,recoil_index,render_tick_count,render_tick_frac,shoot_ang_x,shoot_ang_y,shoot_ang_z,tick,type,victim_name,victim_steamid
-4.6745596,-0.196873,-1.001349e-08,20534,0.54913545,Worfy,76561199052717313,-0.4484936,0.8936893,0.013156851,467.66626,False,0.0,0.0,0.014511283,False,0,4.0,20529,0.2884224,-0.7357247,116.33227,-9.727829e-07,18064,1,shawty#)$@,76561199557907229
-0.41246754,0.035176147,1.3089516e-07,20537,0.76297975,Moon,76561198049602148,0.40440318,0.90874547,-0.10314924,86.36482,False,0.0,0.111488715,0.12147957,False,0,2.0,20532,0.39373335,5.880021,65.571304,-0.000650952,18068,1,Simple Dimple skins.army,76561199433997570
-6.3098044,0.46303412,-3.6240255e-07,20540,0.94913554,Worfy,76561199052717313,-0.43592063,0.8998091,-0.017798156,465.12988,False,0.0,0.0,0.015274319,False,0,5.0,20536,0.17399392,1.1995177,116.36216,-1.4711274e-07,18070,1,shawty#)$@,76561199557907229
-1.0867281,-0.13022952,-3.6739344e-08,20544,0.16297984,Moon,76561198049602148,0.5754805,0.8151431,-0.066060774,101.52543,False,0.0,0.11715007,0.12891433,False,0,3.0,20539,0.112383366,4.035868,55.19335,-0.0006200047,18074,1,Simple Dimple skins.army,76561199433997570
-2.0458372,0.07549949,-1.9127492e-08,20550,0.56297994,Moon,76561198049602148,0.60936344,0.7909686,-0.055180237,122.68962,False,0.0,0.12140189,0.13395327,False,0,4.0,20545,0.4626906,2.2567618,53.91787,-4.4968918e-05,18081,1,Simple Dimple skins.army,76561199433997570
-4.7794714,0.28604415,-7.556298e-07,20569,0.7629802,Moon,76561198049602148,0.64513457,0.7628015,-0.04399093,167.15045,False,0.0,0.0,0.014923219,False,0,7.0,20564,0.81441545,1.8746133,50.236942,-1.0425722e-05,18100,1,Simple Dimple skins.army,76561199433997570
-0.18279584,-0.019889398,-7.7676876e-10,22750,0.855602,frees.tyler,76561198002613044,-0.82960814,0.5205699,0.20188387,1176.5364,False,0.0,0.0,0.010841886,False,0,1.0,22745,0.78980774,-11.930828,147.3822,-7.7676876e-10,20280,2,prosto bo$$,76561199068251294
-0.0929206,0.0783772,5.295701e-09,22767,0.0,prosto bo$$,76561199068251294,0.8248542,-0.5241659,-0.21181487,1173.3494,False,0.0,0.0,0.029409196,False,0,0.5623413,22762,0.83483434,12.242304,-31.175964,5.295701e-09,20296,0,frees.tyler,76561198002613044
0.0,0.0,0.0,23201,0.944535,prosto bo$$,76561199068251294,0.34808528,-0.93650246,0.04242399,655.75336,False,0.0,0.0,0.004200005,False,1,0.0,23197,0.70174974,-2.263943,-69.60051,0.0,20731,0,Faat,76561198171814417
0.0,0.0,0.0,23543,0.58577716,Worfy,76561199052717313,0.9064201,0.4212634,0.03065545,1052.7415,False,0.0,0.0,0.00641,False,0,0.0,23539,0.11355809,-1.7455758,24.766209,0.0,21073,0,RME | Пацан,76561199826895670
0.0,0.0,0.0,23991,0.08988778,prosto bo$$,76561199068251294,0.3230735,-0.941531,0.095618576,687.64886,False,0.0,0.038503405,0.042775974,False,1,0.0,23986,0.87785965,-5.4517465,-71.12508,0.0,21520,0,Faat,76561198171814417
0.0,0.0,0.0,24092,0.55154634,Faat,76561198171814417,-0.3131329,0.94128513,-0.12621377,1042.8237,False,0.0,0.0,0.0031408325,False,0,0.0,24081,0.70555925,7.098028,108.407074,0.0,21622,0,prosto bo$$,76561199068251294
-0.16216592,0.032828335,4.691551e-09,24606,0.15646195,RME | Пацан,76561199826895670,0.39913875,-0.90244734,-0.16210164,792.16766,False,0.0,0.0,0.008602554,False,0,1.0,24602,0.2641787,9.229769,-66.312126,4.691551e-09,22135,1,Moon,76561198049602148
-0.41246754,0.035176147,1.3089516e-07,24612,0.55646205,RME | Пацан,76561199826895670,0.39529163,-0.9026598,-0.17014623,808.05707,False,0.0,0.0,0.010560967,False,0,2.0,24608,0.39690882,9.798418,-65.989044,1.3089516e-07,22141,2,Moon,76561198049602148
-0.16216592,0.032828335,4.691551e-09,24618,0.8561598,Moon,76561198049602148,-0.40164775,0.90650356,0.13011675,799.1728,False,0.0,0.0,0.008602552,False,0,1.0,24614,0.25737298,-7.4100432,113.966705,4.691551e-09,22148,2,RME | Пацан,76561199826895670
0.0,0.0,0.0,24895,0.035704903,Moon,76561198049602148,-0.9973497,0.027084664,-0.06752848,1976.0448,False,0.0,0.0,0.004900002,False,0,0.0,24890,0.4674314,3.8841217,178.43962,0.0,22425,0,prosto bo$$,76561199068251294
-3.3702643,-1.4441504,-1.2345036e-07,27209,0.91845846,prosto bo$$,76561199068251294,-0.9886686,-0.14716811,-0.029598055,787.4325,False,0.0,0.01986,0.033779047,False,0,7.0,27204,0.76175,1.711694,-171.54742,-9.666464e-08,24739,1,frees.tyler,76561198002613044
-5.0804276,-2.1802218,-2.9878083e-06,27230,0.398458,prosto bo$$,76561199068251294,-0.99763244,-0.06138221,-0.03100952,793.7138,False,0.0,0.01986,0.034075357,False,0,11.0,27225,0.74156404,1.6185284,-176.53392,-2.9878083e-06,24759,2,frees.tyler,76561198002613044
-6.170254,-2.5414503,5.1033576e-06,27234,0.7853534,frees.tyler,76561198002613044,0.9981499,0.048832107,-0.036224358,779.5514,False,0.0,0.0,0.018835269,False,0,12.0,27229,0.7206,1.9807448,2.7813227,5.1033576e-06,24764,2,prosto bo$$,76561199068251294
-5.2519164,-1.1242921,-5.333348e-06,27235,0.5184579,prosto bo$$,76561199068251294,-0.9966559,-0.077588186,-0.025634367,722.7993,False,0.0,0.01986,0.03409926,False,0,12.0,27230,0.9351128,1.4932394,-175.478,-5.333348e-06,24764,2,Moon,76561198049602148
-6.383601,-3.0804603,-1.4563423e-06,27240,0.5403507,frees.tyler,76561198002613044,0.9986805,0.039324787,-0.033028875,788.89667,False,0.0,0.0,0.018744145,False,0,13.0,27235,0.699704,1.8333979,2.1763127,-1.4563423e-06,24769,2,prosto bo$$,76561199068251294
-6.3534145,-0.11303134,-4.792106e-06,27240,0.6384578,prosto bo$$,76561199068251294,-0.99839073,-0.056029513,-0.008753635,720.6318,False,0.0,0.0,0.014255099,False,0,13.0,27235,0.7498967,0.7613406,-176.31476,-4.792106e-06,24769,2,Moon,76561198049602148
-6.4739656,-3.6450152,-3.8548014e-06,27246,0.3003509,frees.tyler,76561198002613044,0.99896556,0.034192286,-0.029977117,791.8135,False,0.0,0.0,0.019649714,False,0,14.0,27241,0.07945347,1.7470131,1.6777568,-3.9087163e-06,24775,1,prosto bo$$,76561199068251294
-6.3186073,0.68993807,-2.9429127e-06,27245,0.75845766,prosto bo$$,76561199068251294,-0.99942577,-0.03164668,-0.012106692,792.1034,False,0.0,0.0,0.013928847,False,0,14.0,27240,0.9365336,0.8423476,-178.4224,-2.9429127e-06,24775,2,frees.tyler,76561198002613044
-5.4392467,0.7545051,-1.3689134e-07,27250,0.87845755,prosto bo$$,76561199068251294,-0.99951786,-0.011198876,-0.02895767,794.27783,False,0.0,0.0,0.01404934,False,0,15.0,27245,0.9030217,1.4445095,-179.09706,-1.3689134e-07,24780,2,frees.tyler,76561198002613044
-5.691631,0.42742074,1.3431815e-06,27255,0.99845743,prosto bo$$,76561199068251294,-0.9998358,-0.009079472,-0.015684275,787.89,False,0.0,0.0,0.014129211,False,0,16.0,27250,0.85968035,1.145926,180.11382,1.3431815e-06,24785,1,frees.tyler,76561198002613044
-0.18519567,0.040461905,1.00963655e-08,27257,0.6959575,RME | Пацан,76561199826895670,-0.82912827,-0.5590397,-0.00457254,902.92285,False,0.0,0.0,0.008602562,False,0,1.0,27253,0.7402826,0.01082553,-146.22389,1.00963655e-08,24787,2,Moon,76561198049602148
-0.7596719,0.071499385,7.07151e-08,27263,0.4559577,RME | Пацан,76561199826895670,-0.8315925,-0.555233,-0.01304998,894.2506,False,0.0,0.0,0.010560971,False,0,2.0,27259,0.48252684,0.2690102,-146.36618,9.730586e-06,24793,1,Moon,76561198049602148
-6.297391,0.20591995,-9.43577e-08,27271,0.3584571,prosto bo$$,76561199068251294,-0.99923193,-0.03333858,-0.020594193,722.32526,False,0.0,0.009414885,0.023655396,False,0,19.0,27266,0.94340855,0.9559655,-176.91986,-9.43577e-08,24800,2,Moon,76561198049602148
-6.599048,-4.1733904,-7.80362e-06,27321,0.22392893,frees.tyler,76561198002613044,0.9821335,-0.18124433,-0.05063863,805.8654,False,0.0,0.0,0.022362925,False,0,16.797375,27316,0.019580126,2.9709487,-10.416967,-7.857734e-06,24850,1,prosto bo$$,76561199068251294
0.0,0.0,0.0,27345,0.13593976,RME | Пацан,76561199826895670,-0.9029614,-0.42965803,-0.0073947683,908.93024,False,0.0,0.0,0.005006939,False,0,0.29213917,27341,0.23111048,0.46332204,-154.55095,0.0,24874,0,frees.tyler,76561198002613044
0.0,0.0,0.0,27934,0.6550545,Simple Dimple skins.army,76561199433997570,0.18121366,-0.98337877,-0.011302812,227.2221,False,0.0,0.0,0.004200005,False,1,0.0,27930,0.86383975,0.71992856,-79.590324,0.0,25465,0,Faat,76561198171814417
0.0,0.0,0.0,27950,0.86702037,Faat,76561198171814417,-0.15122575,0.98791003,-0.03412331,372.3869,False,0.0,0.0,0.0030000005,False,0,0.0,27944,0.9066345,1.8415158,98.82928,0.0,25480,0,Simple Dimple skins.army,76561199433997570
0.0,0.0,0.0,28321,0.0,RME | Пацан,76561199826895670,-0.9904204,-0.13616945,-0.022915574,374.96542,False,0.0,0.13788,0.14277999,False,0,0.0,28317,0.005858376,0.39204097,-168.40091,0.0,25851,0,zig,76561198274174345
-1.3009362,0.00144961,1.3028391e-10,28336,0.8815012,zig,76561198274174345,0.987567,0.1498019,-0.047653057,365.45865,False,0.0,0.0,0.0125328,False,0,2.0,28331,0.35032442,3.2574744,8.298286,2.6895371e-08,25866,1,RME | Пацан,76561199826895670
-2.9111211,-0.14607595,-2.085081e-09,28343,0.2815013,zig,76561198274174345,0.98432124,0.16886507,-0.050955232,364.11588,False,0.0,0.0,0.014675656,False,0,3.0,28338,0.046128236,3.1054122,9.816973,-8.211516e-06,25872,1,RME | Пацан,76561199826895670
-4.6745596,-0.196873,-1.001349e-08,28349,0.6815014,zig,76561198274174345,0.9794068,0.19601826,-0.048365235,357.79926,False,0.0,0.0,0.016458336,False,0,4.0,28344,0.700723,2.2246523,10.856562,-1.001349e-08,25878,2,RME | Пацан,76561199826895670
