defindex,item,silent,tick,user_name,user_steamid
48,incgrenade,False,112033,Faat,76561198171814417
43,flashbang,False,112070,Worfy,76561199052717313
44,hegrenade,False,112119,zig,76561198274174345
48,incgrenade,False,112130,zig,76561198274174345
34,mp9,False,112137,frees.tyler,76561198002613044
45,smokegrenade,False,112148,zig,76561198274174345
40,ssg08,False,112236,shawty#)$@,76561199557907229
45,smokegrenade,False,112265,shawty#)$@,76561199557907229
43,flashbang,False,112277,shawty#)$@,76561199557907229
43,flashbang,False,112378,shawty#)$@,76561199557907229
43,flashbang,False,112552,zig,76561198274174345
43,flashbang,False,112617,frees.tyler,76561198002613044
46,molotov,False,112828,prosto bo$$,76561199068251294
44,hegrenade,False,112837,prosto bo$$,76561199068251294
43,flashbang,False,112859,prosto bo$$,76561199068251294
51,vesthelm,False,113011,Moon,76561198049602148
10,famas,True,113103,Moon,76561198049602148
43,flashbang,False,113123,Moon,76561198049602148
45,smokegrenade,False,113138,Moon,76561198049602148
49,c4,False,115125,Simple Dimple skins.army,76561199433997570
9,awp,False,116239,Worfy,76561199052717313
43,flashbang,False,116378,zig,76561198274174345
46,molotov,False,116417,Worfy,76561199052717313
516,knife,False,116518,frees.tyler,76561198002613044
61,hkp2000,False,116518,frees.tyler,76561198002613044
42,knife,False,116518,Moon,76561198049602148
61,hkp2000,False,116518,Moon,76561198049602148
42,knife,False,116518,Faat,76561198171814417
61,hkp2000,False,116518,Faat,76561198171814417
59,knife,False,116518,prosto bo$$,76561199068251294
4,glock,False,116518,prosto bo$$,76561199068251294
59,knife,False,116518,Wybaczam.oficjalnie skins.army,76561199256543526
4,glock,False,116518,Wybaczam.oficjalnie skins.army,76561199256543526
59,knife,False,116518,Simple Dimple skins.army,76561199433997570
4,glock,False,116518,Simple Dimple skins.army,76561199433997570
59,knife,False,116518,shawty#)$@,76561199557907229
4,glock,False,116518,shawty#)$@,76561199557907229
518,knife,False,116518,RME | Пацан,76561199826895670
4,glock,False,116518,RME | Пацан,76561199826895670
49,c4,False,116518,shawty#)$@,76561199557907229
51,vesthelm,False,116600,prosto bo$$,76561199068251294
51,vesthelm,False,116639,frees.tyler,76561198002613044
30,tec9,False,116641,Wybaczam.oficjalnie skins.army,76561199256543526
50,vest,False,116666,Wybaczam.oficjalnie skins.army,76561199256543526
43,flashbang,False,116672,frees.tyler,76561198002613044
45,smokegrenade,False,116690,frees.tyler,76561198002613044
43,flashbang,False,116692,Wybaczam.oficjalnie skins.army,76561199256543526
43,flashbang,False,116702,Wybaczam.oficjalnie skins.army,76561199256543526
13,galilar,False,116702,prosto bo$$,76561199068251294
44,hegrenade,False,116710,frees.tyler,76561198002613044
48,incgrenade,False,116726,frees.tyler,76561198002613044
9,awp,False,116758,Moon,76561198049602148
55,defuser,False,116763,frees.tyler,76561198002613044
50,vest,False,116774,zig,76561198274174345
34,mp9,False,116793,frees.tyler,76561198002613044
7,ak47,False,116794,RME | Пацан,76561199826895670
51,vesthelm,False,116803,Simple Dimple skins.army,76561199433997570
51,vesthelm,False,116816,RME | Пацан,76561199826895670
45,smokegrenade,False,116837,RME | Пацан,76561199826895670
60,m4a1,False,116844,Worfy,76561199052717313
7,ak47,False,116849,Simple Dimple skins.army,76561199433997570
43,flashbang,False,116856,RME | Пацан,76561199826895670
44,hegrenade,False,116873,RME | Пацан,76561199826895670
43,flashbang,False,116873,Simple Dimple skins.army,76561199433997570
43,flashbang,False,116881,Simple Dimple skins.army,76561199433997570
46,molotov,False,116888,RME | Пацан,76561199826895670
44,hegrenade,False,116909,Simple Dimple skins.army,76561199433997570
51,vesthelm,False,116944,Worfy,76561199052717313
55,defuser,False,116960,Worfy,76561199052717313
51,vesthelm,False,116975,Faat,76561198171814417
51,vesthelm,False,116994,shawty#)$@,76561199557907229
55,defuser,False,116997,Faat,76561198171814417
33,mp7,False,117039,Faat,76561198171814417
44,hegrenade,False,117063,Faat,76561198171814417
60,m4a1,False,117071,frees.tyler,76561198002613044
13,galilar,False,117072,prosto bo$$,76561199068251294
45,smokegrenade,False,117078,Faat,76561198171814417
48,incgrenade,False,117097,Faat,76561198171814417
46,molotov,False,117117,prosto bo$$,76561199068251294
44,hegrenade,False,117127,prosto bo$$,76561199068251294
17,mac10,False,117131,shawty#)$@,76561199557907229
43,flashbang,False,117149,prosto bo$$,76561199068251294
45,smokegrenade,False,117185,shawty#)$@,76561199557907229
51,vesthelm,False,117220,Moon,76561198049602148
55,defuser,False,117246,Moon,76561198049602148
9,awp,False,117365,Faat,76561198171814417
33,mp7,False,117520,Moon,76561198049602148
46,molotov,False,117598,RME | Пацан,76561199826895670
43,flashbang,False,117629,Moon,76561198049602148
44,hegrenade,False,117703,Moon,76561198049602148
43,flashbang,False,117750,Faat,76561198171814417
43,flashbang,False,117797,frees.tyler,76561198002613044
43,flashbang,False,117863,prosto bo$$,76561199068251294
44,hegrenade,False,117923,Worfy,76561199052717313
7,ak47,False,119356,Wybaczam.oficjalnie skins.army,76561199256543526
45,smokegrenade,False,119361,Wybaczam.oficjalnie skins.army,76561199256543526
43,flashbang,False,119897,RME | Пацан,76561199826895670
7,ak47,False,122607,Moon,76561198049602148
516,knife,False,123894,frees.tyler,76561198002613044
61,hkp2000,False,123894,frees.tyler,76561198002613044
42,knife,False,123894,Moon,76561198049602148
61,hkp2000,False,123894,Moon,76561198049602148
42,knife,False,123894,Faat,76561198171814417
61,hkp2000,False,123894,Faat,76561198171814417
42,knife,False,123894,zig,76561198274174345
61,hkp2000,False,123894,zig,76561198274174345
518,knife,False,123894,Worfy,76561199052717313
61,hkp2000,False,123894,Worfy,76561199052717313
59,knife,False,123894,prosto bo$$,76561199068251294
4,glock,False,123894,prosto bo$$,76561199068251294
59,knife,False,123894,Simple Dimple skins.army,76561199433997570
4,glock,False,123894,Simple Dimple skins.army,76561199433997570
59,knife,False,123894,shawty#)$@,76561199557907229
4,glock,False,123894,shawty#)$@,76561199557907229
518,knife,False,123894,RME | Пацан,76561199826895670
4,glock,False,123894,RME | Пацан,76561199826895670
49,c4,False,123894,RME | Пацан,76561199826895670
51,vesthelm,False,124001,prosto bo$$,76561199068251294
51,vesthelm,False,124005,zig,76561198274174345
60,m4a1,False,124030,zig,76561198274174345
45,smokegrenade,False,124031,Wybaczam.oficjalnie skins.army,76561199256543526
49,c4,False,124033,prosto bo$$,76561199068251294
43,flashbang,False,124044,Wybaczam.oficjalnie skins.army,76561199256543526
40,ssg08,False,124047,prosto bo$$,76561199068251294
51,vesthelm,False,124050,frees.tyler,76561198002613044
