site,tick,user_name,user_steamid
169,7855,RME | Пацан,76561199826895670
168,55594,RME | Пацан,76561199826895670
168,61950,Wybaczam.oficjalnie skins.army,76561199256543526
169,133199,frees.tyler,76561198002613044
