name,tick,value
cash_team_elimination_hostage_map_ct,-1,3000
cash_team_win_by_defusing_bomb,-1,3500
cash_team_win_by_hostage_rescue,-1,2900
cash_team_rescued_hostage,-1,600
cash_team_hostage_interaction,-1,600
cash_team_bonus_shorthanded,-1,1000
cash_player_interact_with_hostage,-1,300
mp_buytime,-1,20
mp_overtime_enable,-1,true
mp_overtime_limit,-1,1
mp_warmuptime,-1,15
mp_warmuptime_all_players_connected,-1,15
mp_respawn_immunitytime,-1,-1
bot_autodifficulty_threshold_high,-1,0
mp_weapons_allow_zeus,-1,5
mp_weapons_allow_map_placed,-1,true
mp_starting_losses,-1,1
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
mp_halftime,-1,true
mp_randomspawn_los,-1,false
sv_grenade_trajectory_time_spectator,-1,4
sv_deadtalk,-1,true
mp_roundtime,-1,1.92
mp_roundtime_hostage,-1,1.92
mp_roundtime_defuse,-1,1.92
mp_freezetime,-1,20
cash_team_elimination_hostage_map_t,-1,3000
cash_team_elimination_hostage_map_ct,-1,3000
cash_team_win_by_defusing_bomb,-1,3500
cash_team_win_by_hostage_rescue,-1,2900
cash_team_rescued_hostage,-1,600
cash_team_hostage_interaction,-1,600
cash_team_bonus_shorthanded,-1,1000
cash_player_interact_with_hostage,-1,300
mp_buytime,-1,20
mp_overtime_enable,-1,true
mp_overtime_limit,-1,1
mp_warmuptime,-1,15
mp_warmuptime_all_players_connected,-1,15
mp_respawn_immunitytime,-1,-1
bot_autodifficulty_threshold_high,-1,0
mp_weapons_allow_zeus,-1,5
mp_weapons_allow_map_placed,-1,true
mp_starting_losses,-1,1
mp_maxrounds,-1,24
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
mp_halftime,-1,true
mp_randomspawn_los,-1,false
sv_grenade_trajectory_time_spectator,-1,4
sv_deadtalk,-1,true
mp_roundtime,-1,1.92
mp_roundtime_hostage,-1,1.92
mp_roundtime_defuse,-1,1.92
mp_freezetime,-1,20
cash_team_elimination_hostage_map_t,-1,3000
cash_team_elimination_hostage_map_ct,-1,3000
cash_team_win_by_defusing_bomb,-1,3500
cash_team_win_by_hostage_rescue,-1,2900
cash_team_rescued_hostage,-1,600
cash_team_hostage_interaction,-1,600
cash_team_bonus_shorthanded,-1,1000
cash_player_interact_with_hostage,-1,300
mp_buytime,-1,20
mp_overtime_enable,-1,true
mp_overtime_limit,-1,1
mp_warmuptime,-1,15
mp_warmuptime_all_players_connected,-1,15
mp_respawn_immunitytime,-1,-1
bot_autodifficulty_threshold_high,-1,0
mp_weapons_allow_zeus,-1,5
mp_weapons_allow_map_placed,-1,true
mp_starting_losses,-1,1
mp_maxrounds,-1,24
mp_team_timeout_time,-1,31
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
mp_halftime,-1,true
mp_randomspawn_los,-1,false
sv_grenade_trajectory_time_spectator,-1,4
sv_deadtalk,-1,true
mp_roundtime,-1,1.92
mp_roundtime_hostage,-1,1.92
mp_roundtime_defuse,-1,1.92
mp_freezetime,-1,20
cash_team_elimination_hostage_map_t,-1,3000
cash_team_elimination_hostage_map_ct,-1,3000
cash_team_win_by_defusing_bomb,-1,3500
cash_team_win_by_hostage_rescue,-1,2900
cash_team_rescued_hostage,-1,600
cash_team_hostage_interaction,-1,600
cash_team_bonus_shorthanded,-1,1000
cash_player_interact_with_hostage,-1,300
mp_buytime,-1,20
mp_overtime_enable,-1,true
mp_overtime_limit,-1,1
mp_warmuptime,-1,15
mp_warmuptime_all_players_connected,-1,15
mp_respawn_immunitytime,-1,-1
bot_autodifficulty_threshold_high,-1,0
mp_weapons_allow_zeus,-1,5
mp_weapons_allow_map_placed,-1,true
mp_starting_losses,-1,1
mp_maxrounds,-1,24
mp_team_timeout_time,-1,31
mp_team_timeout_max,-1,3
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
mp_halftime,-1,true
mp_randomspawn_los,-1,false
sv_grenade_trajectory_time_spectator,-1,4
sv_deadtalk,-1,true
mp_roundtime,-1,1.92
mp_roundtime_hostage,-1,1.92
mp_roundtime_defuse,-1,1.92
mp_freezetime,-1,20
cash_team_elimination_hostage_map_t,-1,3000
cash_team_elimination_hostage_map_ct,-1,3000
cash_team_win_by_defusing_bomb,-1,3500
cash_team_win_by_hostage_rescue,-1,2900
cash_team_rescued_hostage,-1,600
cash_team_hostage_interaction,-1,600
cash_team_bonus_shorthanded,-1,1000
cash_player_interact_with_hostage,-1,300
mp_buytime,-1,20
mp_overtime_enable,-1,true
mp_overtime_limit,-1,1
mp_warmuptime,-1,15
mp_warmuptime_all_players_connected,-1,15
mp_respawn_immunitytime,-1,-1
bot_autodifficulty_threshold_high,-1,0
mp_weapons_allow_zeus,-1,5
mp_weapons_allow_map_placed,-1,true
mp_starting_losses,-1,1
mp_maxrounds,-1,24
mp_team_timeout_time,-1,31
mp_team_timeout_max,-1,3
mp_team_timeout_ot_add_once,-1,1
think_limit,-1,0
mp_friendlyfire,-1,true
mp_forcecamera,-1,1
spec_freeze_time,-1,2
ff_damage_reduction_grenade,-1,0.85
ff_damage_reduction_bullets,-1,0.33
ff_damage_reduction_other,-1,0.4
sv_bhop_time_window,-1,0.007812
mp_halftime,-1,true
mp_randomspawn_los,-1,false
sv_grenade_trajectory_time_spectator,-1,4
sv_deadtalk,-1,true
mp_roundtime,-1,1.92
mp_roundtime_hostage,-1,1.92
mp_roundtime_defuse,-1,1.92
mp_freezetime,-1,20
cash_team_elimination_hostage_map_t,-1,3000
cash_team_elimination_hostage_map_ct,-1,3000
cash_team_win_by_defusing_bomb,-1,3500
cash_team_win_by_hostage_rescue,-1,2900
cash_team_rescued_hostage,-1,600
cash_team_hostage_interaction,-1,600
cash_team_bonus_shorthanded,-1,1000
cash_player_interact_with_hostage,-1,300
mp_buytime,-1,20
mp_overtime_enable,-1,true
mp_overtime_limit,-1,1
