tick,user_name,user_steamid
9720,Wybaczam.oficjalnie skins.army,76561199256543526
9735,Faat,76561198171814417
9754,Faat,76561198171814417
9932,Faat,76561198171814417
9938,Wybaczam.oficjalnie skins.army,76561199256543526
9952,Faat,76561198171814417
10146,Faat,76561198171814417
10166,Faat,76561198171814417
10277,Faat,76561198171814417
10297,Faat,76561198171814417
10791,Faat,76561198171814417
10968,Faat,76561198171814417
11007,Faat,76561198171814417
12213,Faat,76561198171814417
12252,Faat,76561198171814417
12530,Faat,76561198171814417
12550,Faat,76561198171814417
12816,Faat,76561198171814417
12835,Faat,76561198171814417
14137,Faat,76561198171814417
14156,Faat,76561198171814417
14652,Faat,76561198171814417
16900,Faat,76561198171814417
16919,Faat,76561198171814417
17036,Faat,76561198171814417
17056,Faat,76561198171814417
18039,Faat,76561198171814417
18058,Faat,76561198171814417
18515,Faat,76561198171814417
18630,Faat,76561198171814417
19247,Faat,76561198171814417
19549,Faat,76561198171814417
20473,Faat,76561198171814417
20492,Faat,76561198171814417
20870,Faat,76561198171814417
20889,Faat,76561198171814417
21148,Faat,76561198171814417
21168,Faat,76561198171814417
21493,Faat,76561198171814417
21601,Faat,76561198171814417
21705,Faat,76561198171814417
24521,Faat,76561198171814417
24540,Faat,76561198171814417
25370,Faat,76561198171814417
25394,Faat,76561198171814417
26126,Faat,76561198171814417
26768,Faat,76561198171814417
27269,Faat,76561198171814417
27289,Faat,76561198171814417
27500,Faat,76561198171814417
27519,Faat,76561198171814417
28166,Faat,76561198171814417
28691,Faat,76561198171814417
28712,Faat,76561198171814417
30810,Faat,76561198171814417
30829,Faat,76561198171814417
30953,prosto bo$$,76561199068251294
31062,prosto bo$$,76561199068251294
31064,Faat,76561198171814417
31085,Faat,76561198171814417
31161,prosto bo$$,76561199068251294
31210,prosto bo$$,76561199068251294
31424,Faat,76561198171814417
31443,Faat,76561198171814417
31567,prosto bo$$,76561199068251294
31587,prosto bo$$,76561199068251294
31601,Faat,76561198171814417
31621,Faat,76561198171814417
31774,prosto bo$$,76561199068251294
