canzoom,defindex,hassilencer,hastracers,ispainted,issilenced,item,tick,user_name,user_steamid,weptype
False,0,True,True,True,True,hkp2000,2091,prosto bo$$,76561199068251294,1
False,0,False,False,False,False,incgrenade,2106,prosto bo$$,76561199068251294,9
False,0,False,False,True,False,knife,2125,Worfy,76561199052717313,0
False,0,False,True,True,False,p250,2150,shawty#)$@,76561199557907229,1
False,0,False,False,False,False,hegrenade,2175,frees.tyler,76561198002613044,9
False,0,False,True,True,False,glock,2177,Faat,76561198171814417,1
False,0,False,True,True,False,glock,2190,frees.tyler,76561198002613044,1
False,0,False,True,True,False,glock,2196,Moon,76561198049602148,1
False,0,True,True,False,True,hkp2000,2209,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,knife,2219,Simple Dimple skins.army,76561199433997570,0
False,0,False,True,True,False,glock,2237,zig,76561198274174345,1
False,0,True,True,True,True,hkp2000,2248,prosto bo$$,76561199068251294,1
False,0,False,True,True,False,glock,2260,Worfy,76561199052717313,1
False,0,True,True,False,True,hkp2000,2286,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,incgrenade,2325,prosto bo$$,76561199068251294,9
False,0,True,True,True,True,hkp2000,2420,RME | Пацан,76561199826895670,1
False,0,True,True,True,True,hkp2000,2446,prosto bo$$,76561199068251294,1
False,0,False,False,True,False,knife,2568,RME | Пацан,76561199826895670,0
False,0,False,False,False,False,knife,2599,shawty#)$@,76561199557907229,0
False,0,True,True,True,True,hkp2000,2860,RME | Пацан,76561199826895670,1
False,0,False,True,True,False,p250,2867,shawty#)$@,76561199557907229,1
False,0,False,False,False,False,knife,2920,Wybaczam.oficjalnie skins.army,76561199256543526,0
False,0,True,True,False,True,hkp2000,2930,Wybaczam.oficjalnie skins.army,76561199256543526,1
False,0,False,False,False,False,knife,2967,Wybaczam.oficjalnie skins.army,76561199256543526,0
False,0,False,False,False,False,knife,3029,Simple Dimple skins.army,76561199433997570,0
False,0,True,True,False,True,hkp2000,3031,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,knife,3068,Simple Dimple skins.army,76561199433997570,0
False,0,False,False,False,False,hegrenade,3078,frees.tyler,76561198002613044,9
False,0,True,True,False,True,hkp2000,3088,Simple Dimple skins.army,76561199433997570,1
False,0,True,True,False,True,hkp2000,3095,Wybaczam.oficjalnie skins.army,76561199256543526,1
False,0,False,False,False,False,knife,3096,Simple Dimple skins.army,76561199433997570,0
False,0,False,False,True,False,knife,3120,RME | Пацан,76561199826895670,0
False,0,True,True,False,True,hkp2000,3126,Simple Dimple skins.army,76561199433997570,1
False,0,True,True,True,True,hkp2000,3190,RME | Пацан,76561199826895670,1
False,0,False,True,True,False,glock,3204,frees.tyler,76561198002613044,1
False,0,False,False,False,False,smokegrenade,3494,Worfy,76561199052717313,9
False,0,False,True,True,False,glock,3530,Worfy,76561199052717313,1
False,0,False,False,False,False,smokegrenade,3690,frees.tyler,76561198002613044,9
False,0,False,False,False,False,smokegrenade,3739,Worfy,76561199052717313,9
False,0,False,False,True,False,knife,3790,Worfy,76561199052717313,0
False,0,False,True,True,False,glock,3793,frees.tyler,76561198002613044,1
False,0,False,False,False,False,knife,3881,zig,76561198274174345,0
False,0,False,True,True,False,glock,4163,zig,76561198274174345,1
False,0,False,True,True,False,glock,4253,Worfy,76561199052717313,1
False,0,False,False,True,False,knife,4628,Worfy,76561199052717313,0
False,0,False,True,True,False,glock,4660,Worfy,76561199052717313,1
False,0,False,False,False,False,smokegrenade,4669,Worfy,76561199052717313,9
False,0,False,True,True,False,glock,4710,Worfy,76561199052717313,1
False,0,False,False,False,False,knife,4794,Moon,76561198049602148,0
False,0,False,False,False,False,knife,4818,shawty#)$@,76561199557907229,0
False,0,False,False,True,False,knife,4832,Worfy,76561199052717313,0
False,0,False,True,True,False,glock,4943,Worfy,76561199052717313,1
False,0,False,True,True,False,glock,5117,Moon,76561198049602148,1
False,0,False,False,True,False,knife,5332,Worfy,76561199052717313,0
False,0,False,True,True,False,p250,5335,shawty#)$@,76561199557907229,1
False,0,False,True,True,False,glock,5351,Worfy,76561199052717313,1
False,0,False,False,False,False,c4,5368,zig,76561198274174345,7
False,0,False,False,False,False,smokegrenade,5369,Worfy,76561199052717313,9
False,0,False,True,True,False,glock,5508,Worfy,76561199052717313,1
False,0,False,True,True,False,glock,5656,zig,76561198274174345,1
False,0,False,False,True,False,knife,5837,Worfy,76561199052717313,0
False,0,False,True,True,False,glock,5875,Worfy,76561199052717313,1
False,0,False,False,True,False,knife,6078,Worfy,76561199052717313,0
False,0,False,True,True,False,glock,6209,Worfy,76561199052717313,1
False,0,False,False,True,False,knife,7169,RME | Пацан,76561199826895670,0
False,0,True,True,True,True,hkp2000,8002,RME | Пацан,76561199826895670,1
False,0,False,False,True,False,knife,8303,frees.tyler,76561198002613044,0
False,0,False,True,True,False,glock,8303,frees.tyler,76561198002613044,1
False,0,False,False,False,False,knife,8303,Moon,76561198049602148,0
False,0,False,True,True,False,glock,8303,Moon,76561198049602148,1
False,0,False,False,False,False,knife,8303,Faat,76561198171814417,0
False,0,False,True,True,False,glock,8303,Faat,76561198171814417,1
False,0,False,False,False,False,knife,8303,zig,76561198274174345,0
False,0,False,True,True,False,glock,8303,zig,76561198274174345,1
False,0,False,False,True,False,knife,8303,Worfy,76561199052717313,0
False,0,False,True,True,False,glock,8303,Worfy,76561199052717313,1
False,0,False,False,False,False,knife,8303,prosto bo$$,76561199068251294,0
False,0,True,True,True,True,hkp2000,8303,prosto bo$$,76561199068251294,1
False,0,False,False,False,False,knife,8303,Wybaczam.oficjalnie skins.army,76561199256543526,0
False,0,True,True,False,True,hkp2000,8303,Wybaczam.oficjalnie skins.army,76561199256543526,1
False,0,False,False,False,False,knife,8303,Simple Dimple skins.army,76561199433997570,0
False,0,True,True,False,True,hkp2000,8303,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,knife,8303,shawty#)$@,76561199557907229,0
False,0,True,True,True,True,hkp2000,8303,shawty#)$@,76561199557907229,1
False,0,False,False,False,False,c4,8303,Faat,76561198171814417,7
False,0,False,False,True,False,knife,8353,frees.tyler,76561198002613044,0
False,0,False,True,True,False,glock,8364,frees.tyler,76561198002613044,1
True,0,False,True,True,False,awp,8397,RME | Пацан,76561199826895670,5
False,0,False,False,False,False,knife,8428,Moon,76561198049602148,0
False,0,False,True,True,False,glock,8455,Faat,76561198171814417,1
False,0,False,False,True,False,knife,8455,frees.tyler,76561198002613044,0
False,0,False,True,True,False,glock,8464,frees.tyler,76561198002613044,1
False,0,False,True,True,False,mac10,8535,frees.tyler,76561198002613044,2
True,0,False,True,True,False,ssg08,8539,Wybaczam.oficjalnie skins.army,76561199256543526,5
False,0,True,True,True,True,hkp2000,8594,RME | Пацан,76561199826895670,1
False,0,False,True,False,False,mp9,8594,shawty#)$@,76561199557907229,2
False,0,True,True,True,True,m4a1,8599,prosto bo$$,76561199068251294,3
False,0,False,False,False,False,knife,8603,Simple Dimple skins.army,76561199433997570,0
False,0,False,False,True,False,knife,8629,RME | Пацан,76561199826895670,0
False,0,False,True,True,False,deagle,8629,RME | Пацан,76561199826895670,1
False,0,False,False,True,False,knife,8632,frees.tyler,76561198002613044,0
False,0,False,False,False,False,knife,8652,prosto bo$$,76561199068251294,0
