angles_x,angles_y,angles_z,attack_type,ent_origin_x,ent_origin_y,ent_origin_z,inaccuracy,item_def_index,mode,num_bullets_remaining,origin_x,origin_y,origin_z,player,player_inair,player_scoped,recoil_index,round,seed,sound_dsp_effect,sound_type,spread,tick,user_name,user_steamid,weapon_id
4.4336596,-50.899048,-6.606821e-07,0,775.8322,2611.2825,94.729164,0.110414535,7,0,17,774.3069,2610.0361,158.49739,3473876,,,1.1654817,6,120653917,2430516821,2,0.0006,39314,RME | Пацан,76561199826895670,6783107
-4.6161146,125.937706,0.0,0,1569.0046,1666.0134,0.6744437,0.0128890695,9,1,3,1569.0464,1666.0442,64.108795,13418998,,,0.0,6,432565730,161649234,2,0.0002,39404,Faat,76561198171814417,6242719
5.2747326,-72.729866,0.0,0,1102.7249,2599.9968,96.463425,0.06861902,7,0,16,1100.835,2599.9983,160.30719,3473876,,,0.0,6,2414973565,2430516821,2,0.0006,39481,RME | Пацан,76561199826895670,6783107
5.750625,-73.654396,1.242693e-05,0,1107.0404,2599.6096,96.46014,0.010748494,7,0,15,1106.3855,2599.5764,160.30362,3473876,,,1.0,6,2222203480,2430516821,2,0.0006,39487,RME | Пацан,76561199826895670,6783107
5.1142735,-73.83328,1.3028391e-10,0,1109.4674,2599.7542,96.46137,0.0125328,7,0,14,1109.6567,2599.8096,160.30559,3473876,,,2.0,6,1686515448,2430516821,2,0.0006,39494,RME | Пацан,76561199826895670,6783107
5.9340725,-78.43228,0.0,0,1141.7391,2550.6985,96.07651,0.17787465,7,0,13,1140.5564,2554.2974,159.60199,3473876,,,0.40005633,6,2889168998,2430516821,2,0.0006,39529,RME | Пацан,76561199826895670,6783107
6.471792,-79.20704,-7.078253e-07,0,1150.3384,2538.229,96.04391,0.06268137,7,0,12,1149.2571,2539.5276,159.11847,3473876,,,1.4000564,6,1660880313,2430516821,2,0.0006,39535,RME | Пацан,76561199826895670,6783107
5.340193,-79.09622,-2.1984495e-07,0,1152.5626,2530.421,95.84665,0.0126719335,7,0,11,1152.7069,2531.714,158.8698,3473876,,,2.4000564,6,143742989,2430516821,2,0.0006,39542,RME | Пацан,76561199826895670,6783107
6.415213,-87.07505,0.0,0,1235.9688,2440.7363,98.566025,0.00642233,7,0,10,1235.9688,2440.7363,146.14182,3473876,,,0.0,6,562836923,2430516821,2,0.0006,39615,RME | Пацан,76561199826895670,6783107
-5.443693,94.67411,0.0,0,1342.0684,1368.0706,-7.3332806,0.009563437,36,0,13,1342.7245,1368.1415,55.676636,13418998,,,0.0,6,2522753156,161649234,2,0.002,39620,Faat,76561198171814417,15122938
