tick
1570
1634
1698
9392
9456
9520
16490
16554
16618
23962
24026
24090
30391
30455
30519
35064
35128
35192
41202
41266
41330
49113
49177
49241
57131
57195
57259
63487
63551
63615
69289
69353
69417
76918
76982
77046
86519
86583
86647
91885
91949
92013
99477
99541
99605
105966
106030
106094
112740
112804
112868
117607
117671
117735
124983
125047
125111
130095
130159
130223
134736
134800
134864
137669
137733
137797
